customer_id,customer_name,email,country,city,signup_date,customer_segment
86,Customer 86,customer86@email.com,Germany,London,2023-08-06,Consumer
87,Customer 87,customer87@email.com,UK,Birmingham,2021-10-05,Consumer
88,Customer 88,customer88@email.com,Australia,Glasgow,2022-08-18,Consumer
89,Customer 89,customer89@email.com,Canada,Birmingham,2023-07-24,SMB
90,Customer 90,customer90@email.com,Canada,Glasgow,2021-05-21,Consumer
91,Customer 91,customer91@email.com,USA,Glasgow,2023-04-26,SMB
92,Customer 92,customer92@email.com,Canada,London,2023-10-05,Corporate
93,Customer 93,customer93@email.com,USA,Manchester,2023-05-27,Corporate
94,Customer 94,customer94@email.com,UK,Glasgow,2021-04-20,Corporate
95,Customer 95,customer95@email.com,Germany,Glasgow,2023-12-12,SMB
96,Customer 96,customer96@email.com,Germany,London,2022-09-05,Consumer
97,Customer 97,customer97@email.com,Germany,Manchester,2022-12-14,Corporate
98,Customer 98,customer98@email.com,Canada,Leeds,2024-09-04,Consumer
99,Customer 99,customer99@email.com,UK,Leeds,2024-05-07,SMB
100,Customer 100,customer100@email.com,Canada,Manchester,2023-03-07,Corporate
101,Customer 101,customer101@email.com,Canada,Birmingham,2022-12-30,Consumer
102,Customer 102,customer102@email.com,UK,London,2023-12-06,Consumer
103,Customer 103,customer103@email.com,UK,Manchester,2022-05-20,Corporate
104,Customer 104,customer104@email.com,UK,Leeds,2023-11-07,Consumer
105,Customer 105,customer105@email.com,UK,Glasgow,2021-11-11,SMB
106,Customer 106,customer106@email.com,Germany,Leeds,2024-12-30,Corporate
107,Customer 107,customer107@email.com,France,Glasgow,2024-11-12,Corporate
108,Customer 108,customer108@email.com,France,London,2021-03-18,Corporate
109,Customer 109,customer109@email.com,UK,Glasgow,2023-09-05,Corporate
110,Customer 110,customer110@email.com,France,Manchester,2023-06-18,SMB
111,Customer 111,customer111@email.com,France,Glasgow,2024-10-26,SMB
112,Customer 112,customer112@email.com,UK,Birmingham,2024-04-03,Consumer
113,Customer 113,customer113@email.com,France,Manchester,2023-11-14,SMB
114,Customer 114,customer114@email.com,Canada,London,2022-12-13,Consumer
115,Customer 115,customer115@email.com,USA,Manchester,2023-11-25,Consumer
116,Customer 116,customer116@email.com,USA,Birmingham,2023-05-04,Corporate
117,Customer 117,customer117@email.com,UK,London,2025-01-24,Consumer
118,Customer 118,customer118@email.com,Germany,Leeds,2024-03-07,Corporate
119,Customer 119,customer119@email.com,UK,Birmingham,2022-12-10,Consumer
120,Customer 120,customer120@email.com,Germany,London,2021-09-22,SMB
121,Customer 121,customer121@email.com,USA,Glasgow,2021-11-29,Corporate
122,Customer 122,customer122@email.com,UK,Manchester,2021-07-07,Consumer
123,Customer 123,customer123@email.com,Australia,London,2023-12-23,SMB
124,Customer 124,customer124@email.com,Canada,Manchester,2023-03-31,SMB
125,Customer 125,customer125@email.com,France,Glasgow,2024-07-26,Corporate
126,Customer 126,customer126@email.com,Germany,London,2024-04-09,Corporate
127,Customer 127,customer127@email.com,Australia,Leeds,2021-10-26,Corporate
128,Customer 128,customer128@email.com,France,Birmingham,2021-07-20,Consumer
129,Customer 129,customer129@email.com,France,London,2024-03-04,Corporate
130,Customer 130,customer130@email.com,UK,Glasgow,2021-09-29,SMB
131,Customer 131,customer131@email.com,France,London,2022-06-19,SMB
132,Customer 132,customer132@email.com,Canada,Manchester,2025-01-05,Corporate
133,Customer 133,customer133@email.com,Australia,London,2024-01-16,Corporate
134,Customer 134,customer134@email.com,France,Leeds,2021-01-31,SMB
135,Customer 135,customer135@email.com,UK,London,2024-02-19,Consumer
136,Customer 136,customer136@email.com,Canada,Birmingham,2021-03-10,SMB
137,Customer 137,customer137@email.com,USA,London,2023-06-02,SMB
138,Customer 138,customer138@email.com,Australia,Manchester,2023-08-19,SMB
139,Customer 139,customer139@email.com,France,London,2023-04-07,Corporate
140,Customer 140,customer140@email.com,UK,Leeds,2023-07-13,Consumer
141,Customer 141,customer141@email.com,USA,Glasgow,2024-03-15,Consumer
142,Customer 142,customer142@email.com,USA,London,2023-09-11,Corporate
143,Customer 143,customer143@email.com,Germany,London,2024-09-18,SMB
144,Customer 144,customer144@email.com,Canada,Birmingham,2022-04-26,Corporate
145,Customer 145,customer145@email.com,France,Leeds,2024-07-10,Corporate
146,Customer 146,customer146@email.com,UK,Glasgow,2021-10-20,Consumer
147,Customer 147,customer147@email.com,Germany,Manchester,2024-12-23,Consumer
148,Customer 148,customer148@email.com,Canada,London,2021-03-27,Corporate
149,Customer 149,customer149@email.com,Germany,Glasgow,2023-11-06,Corporate
150,Customer 150,customer150@email.com,Australia,Manchester,2022-12-29,Consumer
151,Customer 151,customer151@email.com,Canada,Leeds,2022-09-20,Consumer
152,Customer 152,customer152@email.com,Canada,Leeds,2021-04-28,SMB
153,Customer 153,customer153@email.com,France,Glasgow,2021-09-27,Corporate
154,Customer 154,customer154@email.com,Canada,Manchester,2024-11-19,SMB
155,Customer 155,customer155@email.com,Germany,Leeds,2023-09-06,SMB
156,Customer 156,customer156@email.com,Canada,Glasgow,2023-05-05,SMB
157,Customer 157,customer157@email.com,France,Leeds,2021-06-11,Consumer
158,Customer 158,customer158@email.com,France,Leeds,2022-12-01,SMB
159,Customer 159,customer159@email.com,Australia,Leeds,2024-02-02,Consumer
160,Customer 160,customer160@email.com,Germany,Birmingham,2021-06-16,Consumer
161,Customer 161,customer161@email.com,USA,Manchester,2021-10-27,Consumer
162,Customer 162,customer162@email.com,USA,Glasgow,2021-01-28,Corporate
163,Customer 163,customer163@email.com,Canada,Glasgow,2024-12-18,SMB
164,Customer 164,customer164@email.com,Australia,Manchester,2022-07-16,Consumer
165,Customer 165,customer165@email.com,UK,Manchester,2023-06-02,Corporate
166,Customer 166,customer166@email.com,Canada,Manchester,2021-06-05,Corporate
167,Customer 167,customer167@email.com,Australia,Manchester,2024-09-09,Corporate
168,Customer 168,customer168@email.com,Germany,London,2024-10-03,Consumer
169,Customer 169,customer169@email.com,Germany,Glasgow,2024-02-19,Consumer
170,Customer 170,customer170@email.com,Germany,London,2022-10-14,Consumer
171,Customer 171,customer171@email.com,Germany,Leeds,2023-04-01,Corporate
172,Customer 172,customer172@email.com,Germany,Leeds,2022-07-15,Consumer
173,Customer 173,customer173@email.com,Australia,Glasgow,2024-04-02,SMB
174,Customer 174,customer174@email.com,Australia,Leeds,2023-12-22,Consumer
175,Customer 175,customer175@email.com,France,Manchester,2024-09-25,Consumer
176,Customer 176,customer176@email.com,USA,London,2021-11-08,SMB
177,Customer 177,customer177@email.com,Germany,Manchester,2022-01-11,Consumer
178,Customer 178,customer178@email.com,UK,Leeds,2024-10-01,Consumer
179,Customer 179,customer179@email.com,Australia,London,2021-05-30,Consumer
180,Customer 180,customer180@email.com,UK,Manchester,2022-08-08,Consumer
181,Customer 181,customer181@email.com,UK,Glasgow,2022-08-04,Corporate
182,Customer 182,customer182@email.com,UK,Manchester,2023-09-04,Consumer
183,Customer 183,customer183@email.com,France,Leeds,2021-06-26,SMB
184,Customer 184,customer184@email.com,Australia,London,2021-12-20,SMB
185,Customer 185,customer185@email.com,UK,Glasgow,2022-05-29,Corporate
186,Customer 186,customer186@email.com,Germany,London,2021-11-05,Consumer
187,Customer 187,customer187@email.com,Canada,Glasgow,2021-04-29,SMB
188,Customer 188,customer188@email.com,UK,London,2023-02-06,Corporate
189,Customer 189,customer189@email.com,France,Leeds,2023-09-23,Consumer
190,Customer 190,customer190@email.com,Australia,Glasgow,2023-08-31,Corporate
191,Customer 191,customer191@email.com,France,Birmingham,2023-07-05,Consumer
192,Customer 192,customer192@email.com,UK,London,2022-04-23,Corporate
193,Customer 193,customer193@email.com,Australia,London,2024-12-08,Corporate
194,Customer 194,customer194@email.com,Canada,Manchester,2022-08-10,SMB
195,Customer 195,customer195@email.com,UK,Glasgow,2021-12-17,SMB
196,Customer 196,customer196@email.com,France,Birmingham,2021-07-14,Corporate
197,Customer 197,customer197@email.com,USA,Leeds,2024-04-25,Consumer
198,Customer 198,customer198@email.com,Germany,Manchester,2025-01-13,Consumer
199,Customer 199,customer199@email.com,France,Birmingham,2022-05-11,Consumer
200,Customer 200,customer200@email.com,Australia,Glasgow,2022-05-30,Consumer
201,Customer 201,customer201@email.com,UK,Birmingham,2022-11-27,Consumer
202,Customer 202,customer202@email.com,Germany,London,2021-09-30,SMB
203,Customer 203,customer203@email.com,UK,London,2023-05-30,Corporate
204,Customer 204,customer204@email.com,Australia,Manchester,2021-02-21,SMB
205,Customer 205,customer205@email.com,UK,Glasgow,2021-09-20,Consumer
206,Customer 206,customer206@email.com,USA,Glasgow,2024-10-23,Corporate
207,Customer 207,customer207@email.com,Germany,Birmingham,2021-05-13,Consumer
208,Customer 208,customer208@email.com,Germany,Manchester,2023-09-21,Consumer
209,Customer 209,customer209@email.com,Australia,Glasgow,2024-06-02,Corporate
210,Customer 210,customer210@email.com,USA,London,2021-11-06,Consumer
211,Customer 211,customer211@email.com,France,Birmingham,2021-01-16,SMB
212,Customer 212,customer212@email.com,UK,Leeds,2021-07-14,SMB
213,Customer 213,customer213@email.com,Canada,London,2025-01-06,SMB
214,Customer 214,customer214@email.com,UK,Manchester,2021-10-30,Consumer
215,Customer 215,customer215@email.com,UK,Glasgow,2023-12-08,SMB
216,Customer 216,customer216@email.com,France,London,2024-02-19,Consumer
217,Customer 217,customer217@email.com,UK,Leeds,2023-04-12,Consumer
218,Customer 218,customer218@email.com,USA,Leeds,2022-07-16,SMB
219,Customer 219,customer219@email.com,USA,Manchester,2025-02-01,SMB
220,Customer 220,customer220@email.com,Germany,London,2021-02-10,Consumer
221,Customer 221,customer221@email.com,Australia,Birmingham,2025-01-19,Consumer
222,Customer 222,customer222@email.com,Canada,London,2022-06-18,Consumer
223,Customer 223,customer223@email.com,UK,Leeds,2022-01-06,Consumer
224,Customer 224,customer224@email.com,UK,Manchester,2024-04-20,SMB
225,Customer 225,customer225@email.com,France,Manchester,2022-06-01,Consumer
226,Customer 226,customer226@email.com,Australia,Birmingham,2022-10-19,Consumer
227,Customer 227,customer227@email.com,USA,Manchester,2022-08-13,Consumer
228,Customer 228,customer228@email.com,Canada,Manchester,2021-08-19,Consumer
229,Customer 229,customer229@email.com,Germany,Manchester,2023-03-20,Consumer
230,Customer 230,customer230@email.com,USA,Manchester,2024-10-03,Corporate
231,Customer 231,customer231@email.com,Australia,Manchester,2022-04-24,Corporate
232,Customer 232,customer232@email.com,Germany,Leeds,2024-05-17,Corporate
233,Customer 233,customer233@email.com,France,London,2022-11-06,SMB
234,Customer 234,customer234@email.com,France,Glasgow,2021-10-05,Consumer
235,Customer 235,customer235@email.com,UK,Manchester,2021-02-22,SMB
236,Customer 236,customer236@email.com,Australia,Glasgow,2023-10-31,Consumer
237,Customer 237,customer237@email.com,Canada,Glasgow,2023-01-18,Corporate
238,Customer 238,customer238@email.com,Germany,Leeds,2022-04-09,Consumer
239,Customer 239,customer239@email.com,USA,Manchester,2023-01-24,SMB
240,Customer 240,customer240@email.com,Australia,Glasgow,2022-08-06,SMB
241,Customer 241,customer241@email.com,Australia,Manchester,2021-06-07,Consumer
242,Customer 242,customer242@email.com,France,Birmingham,2021-01-19,SMB
243,Customer 243,customer243@email.com,UK,Birmingham,2021-02-24,Corporate
244,Customer 244,customer244@email.com,UK,Birmingham,2022-12-22,Consumer
245,Customer 245,customer245@email.com,Germany,Glasgow,2023-11-11,Corporate
246,Customer 246,customer246@email.com,France,Birmingham,2024-07-29,Corporate
247,Customer 247,customer247@email.com,Australia,Leeds,2023-01-31,SMB
248,Customer 248,customer248@email.com,Canada,Leeds,2023-10-16,Consumer
249,Customer 249,customer249@email.com,France,Glasgow,2024-12-11,Corporate
250,Customer 250,customer250@email.com,Germany,Manchester,2023-03-19,Corporate
251,Customer 251,customer251@email.com,Germany,London,2022-12-24,Consumer
252,Customer 252,customer252@email.com,France,Manchester,2021-10-12,SMB
253,Customer 253,customer253@email.com,Germany,Manchester,2022-05-26,Corporate
254,Customer 254,customer254@email.com,France,Manchester,2023-10-19,Consumer
255,Customer 255,customer255@email.com,USA,Manchester,2024-11-20,Consumer
256,Customer 256,customer256@email.com,France,London,2021-04-30,Corporate
257,Customer 257,customer257@email.com,France,Birmingham,2021-04-07,Corporate
258,Customer 258,customer258@email.com,Germany,Manchester,2021-04-30,Corporate
259,Customer 259,customer259@email.com,Germany,Leeds,2024-03-22,SMB
260,Customer 260,customer260@email.com,UK,Glasgow,2024-06-22,SMB
261,Customer 261,customer261@email.com,UK,Glasgow,2022-01-28,Consumer
262,Customer 262,customer262@email.com,USA,Leeds,2024-03-12,Consumer
263,Customer 263,customer263@email.com,UK,Manchester,2023-03-05,Corporate
264,Customer 264,customer264@email.com,France,London,2021-08-08,Consumer
265,Customer 265,customer265@email.com,Germany,Birmingham,2023-04-19,SMB
266,Customer 266,customer266@email.com,UK,Glasgow,2021-06-09,Consumer
267,Customer 267,customer267@email.com,UK,Birmingham,2024-01-05,Consumer
268,Customer 268,customer268@email.com,USA,London,2022-09-03,Corporate
269,Customer 269,customer269@email.com,Australia,Glasgow,2022-10-01,Corporate
270,Customer 270,customer270@email.com,USA,Birmingham,2023-11-22,SMB
271,Customer 271,customer271@email.com,France,London,2023-02-16,Consumer
272,Customer 272,customer272@email.com,Germany,Birmingham,2021-11-30,Consumer
273,Customer 273,customer273@email.com,USA,Manchester,2025-01-03,Consumer
274,Customer 274,customer274@email.com,UK,London,2023-06-11,Corporate
275,Customer 275,customer275@email.com,Germany,Birmingham,2023-07-29,SMB
276,Customer 276,customer276@email.com,Germany,Manchester,2021-12-18,Consumer
277,Customer 277,customer277@email.com,UK,Manchester,2024-09-24,Consumer
278,Customer 278,customer278@email.com,USA,London,2023-07-15,Consumer
279,Customer 279,customer279@email.com,UK,Leeds,2024-11-24,Consumer
280,Customer 280,customer280@email.com,Australia,Glasgow,2022-01-31,SMB
281,Customer 281,customer281@email.com,Germany,London,2024-05-10,SMB
282,Customer 282,customer282@email.com,Canada,Manchester,2022-06-14,SMB
283,Customer 283,customer283@email.com,Canada,Manchester,2024-01-22,Corporate
284,Customer 284,customer284@email.com,France,London,2021-12-24,Consumer
285,Customer 285,customer285@email.com,UK,Leeds,2024-11-20,Consumer
286,Customer 286,customer286@email.com,UK,Glasgow,2023-04-08,Consumer
287,Customer 287,customer287@email.com,France,Birmingham,2021-03-01,Consumer
288,Customer 288,customer288@email.com,France,London,2022-04-22,SMB
289,Customer 289,customer289@email.com,France,Glasgow,2022-09-04,Corporate
290,Customer 290,customer290@email.com,Germany,Glasgow,2021-01-01,Corporate
291,Customer 291,customer291@email.com,Australia,Manchester,2021-11-07,Consumer
292,Customer 292,customer292@email.com,UK,Birmingham,2021-06-17,SMB
293,Customer 293,customer293@email.com,Germany,London,2021-07-11,Corporate
294,Customer 294,customer294@email.com,France,Manchester,2023-11-24,Corporate
295,Customer 295,customer295@email.com,UK,Manchester,2023-11-24,Consumer
296,Customer 296,customer296@email.com,Germany,Leeds,2024-12-11,Corporate
297,Customer 297,customer297@email.com,Australia,Glasgow,2022-12-09,Consumer
298,Customer 298,customer298@email.com,Germany,London,2024-03-27,SMB
299,Customer 299,customer299@email.com,Australia,London,2022-01-01,Consumer
300,Customer 300,customer300@email.com,France,London,2024-09-25,Corporate
301,Customer 301,customer301@email.com,Australia,Manchester,2023-05-08,Consumer
302,Customer 302,customer302@email.com,UK,Leeds,2024-09-20,Consumer
303,Customer 303,customer303@email.com,France,Birmingham,2021-11-23,Consumer
304,Customer 304,customer304@email.com,UK,Manchester,2021-04-24,Consumer
305,Customer 305,customer305@email.com,Canada,Birmingham,2023-03-08,Consumer
306,Customer 306,customer306@email.com,USA,Leeds,2023-07-08,Consumer
307,Customer 307,customer307@email.com,Australia,Glasgow,2024-12-12,Corporate
308,Customer 308,customer308@email.com,USA,London,2025-01-31,Consumer
309,Customer 309,customer309@email.com,USA,Birmingham,2024-03-12,Corporate
310,Customer 310,customer310@email.com,Australia,Manchester,2022-09-01,Consumer
311,Customer 311,customer311@email.com,France,Birmingham,2021-11-05,SMB
312,Customer 312,customer312@email.com,Canada,Glasgow,2022-02-05,Consumer
313,Customer 313,customer313@email.com,UK,London,2024-09-05,Corporate
314,Customer 314,customer314@email.com,Germany,Birmingham,2021-07-31,Corporate
315,Customer 315,customer315@email.com,UK,Glasgow,2021-11-13,SMB
316,Customer 316,customer316@email.com,Germany,Manchester,2021-07-04,Consumer
317,Customer 317,customer317@email.com,UK,Leeds,2024-05-13,SMB
318,Customer 318,customer318@email.com,Australia,Manchester,2024-10-19,Consumer
319,Customer 319,customer319@email.com,Canada,London,2024-05-24,Consumer
320,Customer 320,customer320@email.com,Germany,Manchester,2021-09-03,Corporate
321,Customer 321,customer321@email.com,France,Manchester,2021-08-27,SMB
322,Customer 322,customer322@email.com,UK,Manchester,2024-11-15,SMB
323,Customer 323,customer323@email.com,UK,Manchester,2022-06-04,Corporate
324,Customer 324,customer324@email.com,Germany,London,2021-10-04,Corporate
325,Customer 325,customer325@email.com,France,Glasgow,2023-10-03,SMB
326,Customer 326,customer326@email.com,France,Birmingham,2021-07-21,Corporate
327,Customer 327,customer327@email.com,Australia,Leeds,2021-08-02,Consumer
328,Customer 328,customer328@email.com,Australia,Birmingham,2022-08-29,SMB
329,Customer 329,customer329@email.com,Australia,Birmingham,2022-04-23,SMB
330,Customer 330,customer330@email.com,Australia,Leeds,2022-05-23,Corporate
331,Customer 331,customer331@email.com,Australia,London,2024-01-04,Consumer
332,Customer 332,customer332@email.com,Australia,Leeds,2022-10-31,SMB
333,Customer 333,customer333@email.com,Canada,London,2022-10-27,SMB
334,Customer 334,customer334@email.com,France,Birmingham,2021-05-22,Consumer
335,Customer 335,customer335@email.com,Australia,London,2021-11-18,Corporate
336,Customer 336,customer336@email.com,France,Glasgow,2022-04-06,Corporate
337,Customer 337,customer337@email.com,France,Leeds,2022-12-08,Corporate
338,Customer 338,customer338@email.com,USA,Glasgow,2022-11-01,Corporate
339,Customer 339,customer339@email.com,Canada,Birmingham,2024-03-15,Consumer
340,Customer 340,customer340@email.com,Australia,Leeds,2021-02-23,Consumer
341,Customer 341,customer341@email.com,UK,Birmingham,2024-10-11,SMB
342,Customer 342,customer342@email.com,Germany,Glasgow,2021-10-04,SMB
343,Customer 343,customer343@email.com,UK,Birmingham,2022-02-04,Consumer
344,Customer 344,customer344@email.com,Canada,Leeds,2022-10-30,SMB
345,Customer 345,customer345@email.com,Germany,Leeds,2022-05-31,Consumer
346,Customer 346,customer346@email.com,Canada,Birmingham,2024-08-27,Corporate
347,Customer 347,customer347@email.com,France,Leeds,2024-07-18,Consumer
348,Customer 348,customer348@email.com,Germany,Leeds,2022-07-30,Consumer
349,Customer 349,customer349@email.com,France,Birmingham,2025-01-12,SMB
350,Customer 350,customer350@email.com,UK,Glasgow,2021-04-22,Consumer
351,Customer 351,customer351@email.com,UK,Leeds,2021-08-27,Corporate
352,Customer 352,customer352@email.com,Germany,Leeds,2024-03-13,Corporate
353,Customer 353,customer353@email.com,Germany,Leeds,2024-10-29,SMB
354,Customer 354,customer354@email.com,Australia,Leeds,2023-11-10,SMB
355,Customer 355,customer355@email.com,Canada,Birmingham,2024-08-05,Consumer
356,Customer 356,customer356@email.com,Australia,Glasgow,2021-07-16,SMB
357,Customer 357,customer357@email.com,Canada,Glasgow,2022-01-17,Corporate
358,Customer 358,customer358@email.com,Australia,London,2021-06-13,SMB
359,Customer 359,customer359@email.com,France,Leeds,2022-08-29,SMB
360,Customer 360,customer360@email.com,Germany,Leeds,2024-06-26,Corporate
361,Customer 361,customer361@email.com,UK,London,2023-12-28,Consumer
362,Customer 362,customer362@email.com,Canada,Glasgow,2023-05-05,Consumer
363,Customer 363,customer363@email.com,Canada,Manchester,2023-11-11,SMB
364,Customer 364,customer364@email.com,UK,Manchester,2023-04-11,Corporate
365,Customer 365,customer365@email.com,Australia,Glasgow,2022-08-20,Corporate
366,Customer 366,customer366@email.com,Canada,Leeds,2024-11-14,Corporate
367,Customer 367,customer367@email.com,France,Manchester,2022-06-20,Consumer
368,Customer 368,customer368@email.com,Germany,Birmingham,2021-04-21,Corporate
369,Customer 369,customer369@email.com,UK,Birmingham,2023-08-07,Corporate
370,Customer 370,customer370@email.com,Germany,London,2023-05-13,Consumer
371,Customer 371,customer371@email.com,Canada,Glasgow,2022-08-18,Corporate
372,Customer 372,customer372@email.com,Canada,Glasgow,2023-10-19,Consumer
373,Customer 373,customer373@email.com,UK,Manchester,2022-04-05,SMB
374,Customer 374,customer374@email.com,France,Leeds,2024-01-07,SMB
375,Customer 375,customer375@email.com,USA,Glasgow,2022-03-10,SMB
376,Customer 376,customer376@email.com,UK,Manchester,2024-11-04,SMB
377,Customer 377,customer377@email.com,USA,Manchester,2025-01-03,SMB
378,Customer 378,customer378@email.com,Australia,Glasgow,2023-06-07,Consumer
379,Customer 379,customer379@email.com,USA,Manchester,2023-02-22,Consumer
380,Customer 380,customer380@email.com,France,London,2024-09-24,Consumer
381,Customer 381,customer381@email.com,Australia,London,2023-09-15,Corporate
382,Customer 382,customer382@email.com,USA,Glasgow,2024-12-18,SMB
383,Customer 383,customer383@email.com,Australia,Leeds,2021-06-18,Corporate
384,Customer 384,customer384@email.com,USA,London,2022-12-10,Corporate
385,Customer 385,customer385@email.com,France,London,2023-08-23,Corporate
386,Customer 386,customer386@email.com,USA,Glasgow,2024-07-09,SMB
387,Customer 387,customer387@email.com,USA,Birmingham,2022-12-28,Corporate
388,Customer 388,customer388@email.com,USA,Manchester,2021-08-17,SMB
389,Customer 389,customer389@email.com,UK,London,2024-03-30,SMB
